"","X4PSENRSTLV","X3TGPATOT","X1SES","S1FRNDCLG"
"800","0",3,-0.7064,1
"801","0",2.5,-0.1505,1
"802","0",4,1.3384,1
"803","2",3.5,1.2959,1
"804","2",4,0.6776,1
"805","2",3,-0.1805,1
"806","1",2,0.1779,1
"808","2",3.5,0.3201,1
"810","2",2,-0.1084,1
"811","2",3,-0.7156,1
"812","2",3.5,-0.4763,1
"813","2",3,-0.0655,1
"814","2",4,0.5758,1
"817","0",2,0.1072,1
"818","0",2,-0.5318,1
"819","1",3.5,-1.102,1
"820","2",3,-0.0138,1
"821","2",4,0.3106,1
"822","0",0.5,-0.6665,1
"823","2",4,0.2258,2
"824","0",2.5,-0.5089,2
"825","2",3.5,0.5477,1
"827","1",3.5,-0.1406,1
"829","2",3.5,-0.1893,1
"830","2",3.5,1.1303,1
"831","2",3.5,-0.6888,1
"832","2",3.5,0.9223,1
"833","2",3,-0.7592,1
"834","2",3.5,1.1418,1
"835","2",4,0.5498,1
"836","2",3.5,1.3732,1
"837","2",3.5,-0.3254,1
"838","2",3.5,1.4891,1
"839","2",3,-0.0239,1
"840","2",2.5,-0.2716,1
"841","1",2.5,0.4018,1
"842","2",3.5,1.699,1
"843","2",2.5,-0.0063,1
"844","1",3,0.3514,1
"845","2",3,0.911,1
"846","1",3,0.4433,1
"847","2",2.5,-0.0632,1
"848","2",3.5,0.9503,1
"849","0",3.5,-0.2226,1
"850","2",3.5,0.0235,1
"851","2",4,0.4773,1
"852","0",2,0.1066,1
"854","1",2,-0.0394,1
"855","2",4,0.8902,1
"856","2",4,2.0679,1
"857","1",2.5,0.2111,1
"858","0",2,-0.2293,1
"860","2",2.5,-0.0102,1
"861","1",2.5,-0.4024,1
"862","2",4,0.4034,1
"864","2",3.5,0.7055,1
"865","0",2.5,-0.3372,1
"866","2",3,0.5525,1
"867","1",3.5,-0.6483,1
"868","0",3.5,-0.074,1
"869","2",3.5,1.0407,1
"871","2",3,0.1159,2
"873","2",3.5,-0.1412,1
"874","1",3,-0.7799,1
"875","2",2.5,-0.7045,1
"876","0",3,1.1247,1
"877","0",3,0.4073,1
"878","2",4,1.1164,1
"879","2",3,0.4294,1
"880","1",3.5,-0.7555,1
"881","0",3,-0.3699,1
"882","0",3,0.1856,1
"883","0",3.5,0.6111,1
"884","0",3,-0.8158,2
"885","2",4,0.5182,1
"886","0",2.5,-0.9016,2
"887","1",2,0.5397,1
"888","2",3.5,-0.1403,1
"889","1",2,-0.8879,2
"890","2",3,0.7258,1
"892","2",2.5,0.0978,1
"893","1",3.5,0.8512,1
"895","2",3.5,0.3498,1
"896","2",3,0.4073,2
"897","2",3.5,2.0218,1
"898","0",2.5,0.8963,1
"899","2",3,0.9845,1
"900","1",3,0.5486,1
"901","1",2,-0.8049,1
"902","2",3.5,0.685,1
"904","0",3.5,-0.556,1
"905","2",3,0.1587,1
"906","0",3,0.2982,1
"907","0",3,0.3623,1
"908","0",3.5,0.4465,1
"909","1",2,-0.4012,2
"911","0",1.5,0.0519,2
"912","2",3.5,0.6086,1
"913","2",3.5,-0.5436,1
"914","2",4,0.23,1
"916","1",2,-0.1431,1
"917","1",3,0.7758,1
"918","1",3,0.3841,1
"920","2",3,0.2433,1
"921","2",3,0.6914,1
"922","2",2.5,0.0584,1
"923","2",3,0.7584,1
"924","2",4,0.9503,2
"925","0",2,-1.5209,1
"926","0",3,-0.5628,1
"927","1",2.5,0.1574,1
"928","2",3.5,-0.7751,1
"929","2",3.5,-0.4522,1
"930","2",3.5,1.2066,1
"931","1",3,0.3938,1
"932","2",4,1.8015,1
"933","2",3,-1.0362,1
"934","2",2,0.0249,1
"935","0",1,0.5794,1
"936","2",2,1.243,1
"937","2",3,1.0936,1
"938","2",3,0.2732,1
"940","1",3.5,-0.4843,2
"941","2",3.5,0.3182,1
"942","0",3,-0.5301,1
"943","2",3.5,0.3088,1
"945","2",3.5,1.3944,1
"946","2",3.5,-1.4492,1
"947","2",4,0.3202,1
"948","1",2.5,0.0484,1
"949","2",4,1.1295,1
"951","0",3,0.559,1
"952","2",3,0.5295,1
"953","2",3.5,1.4176,1
"954","2",3,0.6593,1
"957","2",3,-0.4024,1
"958","1",2.5,1.1706,1
"959","2",3,0.1881,1
"960","2",4,0.5267,1
"962","2",3,1.2954,1
"963","2",4,0.6776,1
"964","2",3.5,0.0469,1
"965","2",2.5,-0.2521,1
"966","0",3,1.6986,1
"967","2",3.5,1.226,1
"968","2",3,0.94,1
"969","2",4,0.3355,1
"971","2",3.5,0.6611,1
"973","2",2.5,-1.0419,2
"974","2",4,2.2898,1
"976","0",2.5,-0.8472,1
"977","0",2,0.0885,1
"978","2",3,-0.0792,1
"979","2",3.5,0.7961,1
"980","2",3.5,1.5059,1
"981","1",2.5,-0.1286,1
"983","1",2.5,1.9858,1
"984","2",3.5,0.0718,2
"985","1",3.5,-0.5381,1
"986","2",3.5,0.6335,1
"987","2",3.5,1.1186,1
"988","2",4,1.6559,1
"991","2",3.5,0.7949,1
"992","1",2,-0.056,1
"993","0",2,-0.0506,1
"994","1",2,0.4204,1
"995","2",3.5,-0.0752,1
"996","2",4,0.8856,1
"997","2",3,1.6027,1
"998","1",2,0.4396,1
"999","2",4,1.5122,1
"1000","1",4,0.4267,1
"1001","1",3,0.03,1
"1002","2",3,0.4529,1
"1003","2",3.5,1.211,1
"1005","2",4,0.8305,1
"1006","0",3,-0.7477,1
"1007","0",2.5,-0.1125,1
"1008","2",3,0.4949,1
"1009","0",4,0.5507,1
"1010","2",3.5,0.5097,1
"1011","0",2,-0.7001,1
"1012","0",3,-0.0639,1
"1013","2",4,1.155,1
"1014","2",2.5,-0.7751,1
"1015","2",3.5,0.6579,1
"1016","2",3.5,0.8076,1
"1017","2",3.5,1.4041,1
"1019","2",3.5,1.2152,1
"1020","2",3.5,1.0292,1
"1021","0",2.5,0.4082,1
"1023","2",3.5,1.4186,1
"1024","2",4,-0.9072,1
"1025","2",3,1.8244,1
"1026","0",3.5,2.1516,1
"1027","0",1.5,-0.2903,1
"1028","0",2.5,-0.4679,1
"1030","0",2,-0.3394,1
"1031","2",4,0.0839,1
"1033","0",2.5,-0.3558,1
"1035","0",3,-0.0893,1
"1037","0",2.5,-0.0137,1
"1038","2",3,1.0128,1
"1039","0",2.5,-0.6918,1
"1040","0",2,-1.3682,1
"1042","2",3,-0.0105,1
"1043","2",3.5,1.977,1
"1044","0",3.5,0.6587,1
"1045","0",3,-1.3419,1
"1046","0",2.5,-0.2903,1
"1047","2",3,-1.4492,1
"1048","2",3.5,1.7325,1
"1049","2",4,1.7214,1
"1052","2",3.5,1.7187,1
"1054","2",4,1.179,1
"1055","2",3,1.7779,1
"1056","0",2,-1.7157,1
"1057","2",3,-0.1505,1
"1058","2",3.5,0.3664,1
"1059","1",3,0.6306,2
"1060","2",3.5,0.2732,1
"1061","2",4,-0.1484,1
"1062","1",1,-0.2739,1
"1063","2",2.5,0.6797,1
"1064","2",3,1.5552,1
"1065","2",3.5,0.5273,1
"1066","2",3.5,1.5048,1
"1067","2",3,-0.8702,1
"1068","2",3.5,-0.1779,1
"1069","2",2.5,-0.43,1
"1070","1",2.5,0.5702,1
"1071","2",2.5,0.1039,1
"1072","2",3,0.9247,1
"1073","2",3.5,0.3395,1
"1074","0",2,0.6914,1
"1075","2",3.5,0.193,1
"1076","0",3,0.9456,1
"1077","2",3,1.4564,1
